"cefalea","escalofrio","hiporexia","odinofagia","exantema","prurito","vomito","altconciencia","edemapar","hepatomeg","rinorrea","hemo","bayes","enfer","san","alpha","beta","hemo.pos.D","hemo.neg.D","hemo.pos.ND","hemo.neg.ND","alpha.secu.1","beta.secu.1","alpha.secu.2","beta.secu.2","bayes.secu.pos","bayes.secu.neg"
1,1,1,1,1,0,0,1,0,0,0,0,0.501371257855324,0,0,1,1,0,0,0,0,1,1,1,1,0.50190158369751,0.503026695085827
1,1,1,1,1,0,0,0,1,1,1,1,0.492499643255025,0,0,1,1,0,0,0,0,1,1,1,1,0.500889262488464,0.507518363556557
1,1,1,1,1,0,0,0,1,1,1,0,0.502444757145131,0,0,1,1,0,0,0,0,1,1,1,1,0.497284168841046,0.515384842906301
1,1,1,1,1,0,0,0,1,1,0,1,0.486699731049594,0,0,1,1,0,0,0,0,1,1,1,1,0.472723786771857,0.487481737474673
1,1,1,1,1,0,0,0,1,1,0,0,0.494655106025049,0,0,1,1,0,0,0,0,1,1,1,1,0.48222291165778,0.489926675412731
1,1,1,1,1,0,0,0,1,0,1,1,0.672286779966744,1,0,2,1,0,1,0,0,1,2,1,1,0.59406093842205,0.72046405753189
1,1,1,1,1,0,0,0,1,0,1,0,0.3290402148671,0,1,1,2,0,0,0,1,1,1,1,2,0.441068416994314,0.276527717907608
1,1,1,1,1,0,0,0,1,0,0,1,0.750053595340905,2,0,3,1,2,0,0,0,3,1,1,1,0.821117354150389,0.592653918711841
1,1,1,1,1,0,0,0,1,0,0,0,0.257149490438261,0,2,1,3,0,0,1,1,1,1,2,2,0.258700435283829,0.255398570744964
1,1,1,1,1,0,0,0,0,1,1,1,0.496945574364625,0,0,1,1,0,0,0,0,1,1,1,1,0.492313866661189,0.488067234603895
1,1,1,1,1,0,0,0,0,1,1,0,0.505503432788188,0,0,1,1,0,0,0,0,1,1,1,1,0.500396944648579,0.518295414612437
1,1,1,1,1,0,0,0,0,1,0,1,0.3326646463752,0,1,1,2,0,0,0,1,1,1,1,2,0.415857194023205,0.274949122383882
1,1,1,1,1,0,0,0,0,1,0,0,0.504383355758386,0,0,1,1,0,0,0,0,1,1,1,1,0.507051071961253,0.514971860555413
1,1,1,1,1,0,0,0,0,0,1,1,0.538699508914435,6,5,7,6,2,4,0,5,3,5,1,6,0.758565124907769,0.456821392134401
1,1,1,1,1,0,0,0,0,0,1,0,0.124836948930371,0,6,1,7,0,0,0,6,1,1,1,7,0.366812879783594,0.0765410974475726
1,1,1,1,1,0,0,0,0,0,0,1,0.286216855846831,1,4,2,5,1,0,1,3,2,1,2,4,0.445501461906613,0.167220990852467
1,1,1,1,1,0,0,0,0,0,0,0,0.405815137468405,1,2,2,3,1,0,0,2,2,1,1,3,0.65141880793682,0.227964427345846
1,1,1,1,0,1,1,1,1,1,1,1,0.479019068895839,0,0,1,1,0,0,0,0,1,1,1,1,0.465547584837136,0.488793154994269
1,1,1,1,0,1,1,1,1,1,1,0,0.498226256931433,0,0,1,1,0,0,0,0,1,1,1,1,0.501319554340731,0.492806480836558
1,1,1,1,0,1,1,1,1,1,0,1,0.51288705411437,0,0,1,1,0,0,0,0,1,1,1,1,0.496465609254076,0.49314300088112
1,1,1,1,0,1,1,1,1,1,0,0,0.498078111994779,0,0,1,1,0,0,0,0,1,1,1,1,0.506465778425755,0.490821330477704
1,1,1,1,0,1,1,1,1,0,1,1,0.487804487525253,0,0,1,1,0,0,0,0,1,1,1,1,0.516548563852797,0.489078288923002
1,1,1,1,0,1,1,1,1,0,1,0,0.490946047515376,0,0,1,1,0,0,0,0,1,1,1,1,0.494789605058574,0.488230154254917
